source_id|source|source_column|name|azt_id
11059|IMPACT|TRIAL_ALIAS_CODE|BN-00P-0044|BN-00P-0044
11058|IMPACT|TRIAL_ALIAS_CODE|BN-00D-0024|BN-00D-0024
11057|IMPACT|TRIAL_ALIAS_CODE|BN-00D-0015|BN-00D-0015
11056|IMPACT|TRIAL_ALIAS_CODE|BN-00D-0014|BN-00D-0014
10634|IMPACT|TRIAL_ALIAS_CODE|D5390L00047|D5390L00047
10625|IMPACT|TRIAL_ALIAS_CODE|IRUSTAMO0001|IRUSTAMO0001
10624|IMPACT|TRIAL_ALIAS_CODE|IRUSTAMO0003|IRUSTAMO0003
10623|IMPACT|TRIAL_ALIAS_CODE|IRUSANAS0013X|IRUSANAS0013X
10954|IMPACT|TRIAL_ALIAS_CODE|04-9224|04-9224
10953|IMPACT|TRIAL_ALIAS_CODE|04-9223|04-9223
10952|IMPACT|TRIAL_ALIAS_CODE|04-9222|04-9222
10951|IMPACT|TRIAL_ALIAS_CODE|04-9221|04-9221
10950|IMPACT|TRIAL_ALIAS_CODE|04-9218|04-9218
10949|IMPACT|TRIAL_ALIAS_CODE|04-9216|04-9216
10948|IMPACT|TRIAL_ALIAS_CODE|04-9214|04-9214
9648|IMPACT|TRIAL_ALIAS_CODE|SH-NEP-0007|D9615C00007
10515|IMPACT|TRIAL_ALIAS_CODE|IRUSQUET0107|
10514|IMPACT|TRIAL_ALIAS_CODE|IRUSQUET0106|
10513|IMPACT|TRIAL_ALIAS_CODE|IRUSQUET0101|
10512|IMPACT|TRIAL_ALIAS_CODE|IRUSQUET0098|
11055|IMPACT|TRIAL_ALIAS_CODE|BG-OXI-0013|BG-OXI-0013
11054|IMPACT|TRIAL_ALIAS_CODE|BG-OXI-0012|BG-OXI-0012
11053|IMPACT|TRIAL_ALIAS_CODE|BG-OXI-0009|BG-OXI-0009
11052|IMPACT|TRIAL_ALIAS_CODE|BG-OXI-0002|BG-OXI-0002
10495|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0082|
10622|IMPACT|TRIAL_ALIAS_CODE|IRUSANAS0001X|IRUSANAS0001X
10621|IMPACT|TRIAL_ALIAS_CODE|IRUSANAS0006X|IRUSANAS0006X
10620|IMPACT|TRIAL_ALIAS_CODE|IRUSANAS0005X|IRUSANAS0005X
10619|IMPACT|TRIAL_ALIAS_CODE|D5390L00078|D5390L00078
10618|IMPACT|TRIAL_ALIAS_CODE|IRUSANAS0023X|IRUSANAS0023X
9646|IMPACT|TRIAL_ALIAS_CODE|SH-NEP-0005|D9615C00005
9643|IMPACT|TRIAL_ALIAS_CODE|SH-NEP-0001|D9615C00001
9300|IMPACT|TRIAL_ALIAS_CODE|IRUSIRES0185|IRUSIRES0185
9299|IMPACT|TRIAL_ALIAS_CODE|1839IL/0050|D7914C00050
9298|IMPACT|TRIAL_ALIAS_CODE|1839IL/0039|D7913C00039
10511|IMPACT|TRIAL_ALIAS_CODE|IRUSQUET0096|
10509|IMPACT|TRIAL_ALIAS_CODE|IRUSOMEP0192|
10508|IMPACT|TRIAL_ALIAS_CODE|IRUSOMEP0070|
10505|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0100|
10492|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0080|
10139|IMPACT|TRIAL_ALIAS_CODE|4522/0065 OL|
10138|IMPACT|TRIAL_ALIAS_CODE|311CUS/0016|D1223L00001
10137|IMPACT|TRIAL_ALIAS_CODE|CP00HQ/0093|D0420M00093
10136|IMPACT|TRIAL_ALIAS_CODE|SD-039-0735|D5890C00735
10617|IMPACT|TRIAL_ALIAS_CODE|IRUSZOLM0007|
10616|IMPACT|TRIAL_ALIAS_CODE|IRUSBUEN0010|
10615|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0141|
10614|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0136|
11433|IMPACT|TRIAL_ALIAS_CODE|05-2006|05-2006
9297|IMPACT|TRIAL_ALIAS_CODE|1839IL/0021|D7913C00021
9296|IMPACT|TRIAL_ALIAS_CODE|1839IL/0020|D7913C00020
9295|IMPACT|TRIAL_ALIAS_CODE|1694IL/0021|D8392C00021
9294|IMPACT|TRIAL_ALIAS_CODE|1694IL/0015|D8392C00015
10504|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0098|
10503|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0097|
10502|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0096|
10501|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0095|
10500|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0092|
